x_val,y_added,y_removed,y_combined
f,24,24,48
x,23,20,43
as_double(mirror) is base,20,20,40
"contains(d0, dk2)",20,20,40
len(a0) is 3,21,16,37
len(a0) is 0,21,16,37
len(a0) is 2,19,15,34
"at(l0, 1) is li1",16,16,32
"contains(t0, $(String, ""Hello""))",16,16,32
"contains(m0, mk2)",16,16,32
"at(l0, 0) is li0",16,16,32
len(l0) is 3,18,13,31
len(l0) is 0,18,13,31
Exception_Depth() is 0,15,15,30
"at(args,1)",13,13,26
"at(args,0)",13,13,26
as_long(total) is 18,12,12,24
"at(l0, 0) is li2",12,12,24
" eq(a0, a1) ",13,11,24
" eq(at(a0, 0), $(Int, 1)) ",12,12,24
as_long(total) is 111,12,12,24
"neq(map1, map2)",12,12,24
"eq(map1, map2)",12,12,24
y,12,12,24
" eq(at(a0, 0), $(Int, 10)) ",12,12,24
"at(l0, 2) is li2",12,12,24
as_long(tester) is 20,12,12,24
len(a0) is 1,12,10,22
len(t0) is 2,12,9,21
len(t0) is 0,12,9,21
"neq(tab1, tab2)",10,10,20
"contains(d0, dk1)",10,10,20
"contains(d0, dk0)",10,10,20
len(l0) is 2,12,8,20
exception_depth() is 0,10,10,20
len(m0) is 0,11,8,19
len(m0) is 2,11,8,19
"eq(tab1, tab2)",9,9,18
" eq($(String, ""Hello""), $(String, ""Hello"")) ",9,9,18
"eq(dict1, dict2)",9,9,18
" eq(i1, $(Int, 5)) ",9,9,18
len(l0) is 1,10,8,18
Exception_Depth() is -1,9,9,18
"neq(tree1, tree2)",9,9,18
reached0,10,8,18
"neq(dict1, dict2)",9,9,18
"eq(tree1, tree2)",9,9,18
reached1,10,8,18
" eq(i0, $(Int, 2)) ",9,9,18
" eq(get(a0, $I(0)), $I(1)) ",11,6,17
len(t0) is 1,9,8,17
t0,9,8,17
t2,9,8,17
len(l0) is 4,9,8,17
t1,9,8,17
" eq(val, $(Int, 2)) ",8,8,16
f0,9,7,16
"contains(m0, mk1)",8,8,16
"at(l0, 3) is li3",8,8,16
"contains(t2, $(String, ""Where""))",8,8,16
" eq(at(a0, 1), $(String, ""Blah"")) ",8,8,16
"contains(x, $(String, ""Hello""))",8,8,16
"contains(a0, $(Int, 1))",8,8,16
"contains(t2, $(String, ""Bonjour""))",8,8,16
"eq(at(x, 0), $(Int, 0))",8,8,16
" eq(at(a0, 1), $(Int, 3)) ",8,8,16
" eq(at(a0, 2), $(Int, 3)) ",8,8,16
"contains(x, $(Int, 1))",8,8,16
" eq(at(a0, 0), $(Int, 20)) ",8,8,16
"contains(l0, li3)",8,8,16
"contains(t2, $(String, ""There""))",8,8,16
"neq(l0, l1)",8,8,16
" eq(at(a0, 2), $(String, ""People"")) ",8,8,16
"contains(l0, li2)",8,8,16
Exception_Depth() is 1,8,8,16
"at(l0, 1) is li3",8,8,16
as_long(y) is 20,8,8,16
" eq(key, $(String, ""There"")) ",8,8,16
" eq(at(a0, 0), $(String, ""Hello"")) ",8,8,16
"at(l0, 0) is li3",8,8,16
" eq(at(a0, 1), $(Int, 20)) ",8,8,16
"at(l0, 0) is li4",8,8,16
"contains(t0, $(String, ""There""))",8,8,16
"as_str(ys), ""There""",8,8,16
"contains(t1, $(String, ""Bonjour""))",8,8,16
" eq(val, $(Int, 5)) ",8,8,16
"contains(l0, li1)",8,8,16
"contains(m0, mk0)",8,8,16
" eq(key, $(String, ""Hello"")) ",8,8,16
"at(l0, 2) is li1",8,8,16
" eq(get(a0, $I(0)), $I(10)) ",9,6,15
f1,8,7,15
x != y,7,7,14
exception_depth() is 1,7,7,14
m0,7,6,13
m2,7,6,13
m1,7,6,13
len(s0) is 0,7,5,12
1 == reals,6,6,12
" eq(get(a0, $(Int, 0)), $(Int, 10)) ",6,6,12
"eq(tab3, tab4)",6,6,12
" eq(get(a0, $I(2)), $I(3)) ",8,4,12
as_str(xs) isnt as_str(ys),6,6,12
" eq(get(a0, $(Int, 0)), $(Int, 1)) ",6,6,12
"eq(get(p, y), $(Int, 1))",6,6,12
"eq(get(p, z), $(Int, 1))",6,6,12
" neq(a0, a2) ",7,5,12
"neq(tab3, tab4)",6,6,12
"eq(s0, s1)",7,5,12
a1,6,5,11
len(a0) is 4,6,5,11
len(x) is 2,6,5,11
a0,6,5,11
a2,6,5,11
"contains(d2, dk3)",5,5,10
" le($(String, ""keep""), $(String, ""keep"")) ",5,5,10
"contains(d1, dk5)",5,5,10
" ge($(String, ""Hello""), $(String, ""Hello"")) ",5,5,10
"eq(at(y, 1), $(Real, 2.2))",5,5,10
d0,5,5,10
len(d0) is 0,5,5,10
len(d0) is 3,5,5,10
" eq(get(a1, $I(2)), $S(""People"")) ",6,4,10
" neq($(String, ""Hello""), $(String, ""There"")) ",5,5,10
"contains(d2, dk4)",5,5,10
"get(d0, dk2) is dv9",5,5,10
"contains(d1, dk4)",5,5,10
"eq(at(y, 2), $(Real, 5.2))",5,5,10
"get(d0, dk1) is dv5",5,5,10
" lt($(String, ""great""), $(String, ""hello"")) ",5,5,10
"contains(d2, dk0)",5,5,10
" eq(item, $(String, ""There"")) ",5,5,10
d2,5,5,10
" eq(l0, l1) ",5,5,10
" eq(get(a0, $I(1)), $I(3)) ",6,4,10
"eq(at(y, 3), $(Real, 7.1))",5,5,10
" eq(get(a1, $I(0)), $S(""Hello"")) ",6,4,10
" eq(get(a1, $I(1)), $S(""Blah"")) ",6,4,10
"get(d0, dk0) is dv0",5,5,10
" neq(s0, s1) ",5,5,10
"contains(d2, dk5)",5,5,10
"c_str(s0), ""Hello""",8,2,10
" eq(get(a0, $I(1)), $I(20)) ",6,4,10
c_float(mirror) is base,5,5,10
"contains(d2, dk1)",5,5,10
" neq($(String, ""Hello""), $(String, ""hello"")) ",5,5,10
"contains(d1, dk3)",5,5,10
" eq(item, $(String, ""Hello"")) ",5,5,10
" lt($(String, ""Yellow""), $(String, ""Zoo"")) ",5,5,10
"eq(at(y, 0), $(Real, 1.1))",5,5,10
"mem(a0, $I(1))",6,4,10
"contains(d2, dk2)",5,5,10
len(d0) is 2,5,5,10
" eq(item, $(String, ""People"")) ",5,5,10
" eq(get(a0, $I(0)), $I(20)) ",6,4,10
d1,5,5,10
" le($(String, ""guard""), $(String, ""guardian"")) ",5,5,10
"mem(m0, $S(""Hello""))",6,4,10
l0,5,4,9
l1,5,4,9
s1,5,4,9
TestType,5,4,9
int0,5,4,9
 not(int2 is int1) ,5,4,9
int2,5,4,9
"neq(test_obj1, test_obj3)",5,4,9
len(x) is 0,5,4,9
"testinput, testoutput1",5,4,9
len(x) is 3,5,4,9
l2,5,4,9
s0,5,4,9
test_obj1,5,4,9
r2 == 3,5,4,9
int1,5,4,9
test_obj2,5,4,9
test_obj3,5,4,9
"eq(test_obj1, test_obj2)",5,4,9
" gt($(String, ""cat""), $(String, ""dog"")) ",4,5,9
r0 == 2,5,4,9
r1 == 2,5,4,9
s2,5,4,9
" gt($(String, ""Apple""), $(String, ""Ball"")) ",4,5,9
len(s0) is 8,5,4,9
 not(s1 is s2) ,5,4,9
"eq(True, True)",4,4,8
"as_double($(Real, 5.2)) is 5.2",4,4,8
" neq($(Int, 324), $(Int, 685)) ",4,4,8
"as_str(TestType), ""TestType""",4,4,8
"as_long($(Real, 5.6)) is 5",4,4,8
" eq(second, $(Int, 22)) ",4,4,8
3 == total,4,4,8
" gt($(Char, 'z'), $(Char, 'g')) ",4,4,8
as_char(char2) is 'a',4,4,8
" eq(at(a0, 2), $(String, ""Bar"")) ",4,4,8
"as_long(at(values, 1)) is 4",4,4,8
"gt(True, False)",4,4,8
" hash($(Char, 'A')) is 65",4,4,8
"eq(minval, $(Real, 1.1))",4,4,8
"as_long(at(values, 0)) is 6",4,4,8
as_long(tester) is 6,4,4,8
" ge($(Int, 289), $(Int, 289)) ",4,4,8
" ge($(Int, 8734), $(Int, 289)) ",4,4,8
" lt($(Int, 70), $(Int, 81)) ",4,4,8
" le($(Real, 1.1), $(Real, 88.8)) ",4,4,8
"as_char($(Char, 'a')) is 'a'",4,4,8
"eq(at(z, 0), $(Real, 1.1))",4,4,8
" eq(get(a0, $(Int, 0)), $(Int, 20)) ",4,4,8
2 == integers,4,4,8
a0 != a2,4,4,8
as_long(banana_price) is 6,4,4,8
as_long(res1) is 1,4,4,8
type_of(False) is Bool,4,4,8
as_long(int1) is 24313,4,4,8
" hash($(Int, 11)) is 11 ",4,4,8
" neq($(Real, 3.24), $(Real, 6.85)) ",4,4,8
as_long(tester) is 60,4,4,8
((FunctionData*)f1)->func == ((FunctionData*)f2)->func,4,4,8
"at(l0, 2) is li6",4,4,8
"get(m0, mk2) is dv9",4,4,8
as_long(res2) is 1,4,4,8
"as_str(z), ""Hello""",4,4,8
"at(values,0) is at(new_values,0)",4,4,8
"at(l1, 0) is li4",4,4,8
" eq(at(a0, 1), $(String, ""There"")) ",4,4,8
" eq(at(a0, 2), $(Int, 1)) ",4,4,8
as_double(fst) is 1.0,4,4,8
a0 != a1,4,4,8
"eq(get(x, $(Int, 0)), $(Int, 0))",4,4,8
" ge($(String, ""tooting""), $(String, ""Red"")) ",4,4,8
"as_double($(Int, 5)) is 5.0",4,4,8
" eq(get(a0, $(Int, 1)), $(Int, 3)) ",4,4,8
" lt($(Char, 'Y'), $(Char, 'Z')) ",4,4,8
" eq(i2, $(Int, 6)) ",4,4,8
as_double(real1) is 24.313,4,4,8
"as_long(at(values, 2)) is 11",4,4,8
"at(x, 1) is trd",4,4,8
((FunctionData*)f1)->func is ((FunctionData*)f2)->func,4,4,8
" as_str(s2), ""There"" ",4,4,8
" gt($(Char, 'a'), $(Char, 'A')) ",4,4,8
"eq(at(x, 1), $(Int, 5))",4,4,8
" gt($(Int, 15), $(Int, 3 )) ",4,4,8
"eq(at(z, 3), $(Real, 7.1))",4,4,8
type_of(Int) is Type,4,4,8
" gt($(Char, 'G'), $(Char, 'F')) ",4,4,8
as_long(tester) is 10,4,4,8
type_of(y),4,4,8
"c_str(s0), """"",6,2,8
"as_double($(Int, 7)) is 7.0",4,4,8
" le($(Int, 11), $(Int, 888)) ",4,4,8
" ge($(Char, 'T'), $(Char, 'T')) ",4,4,8
" eq(at(a0, 0), $(String, ""Foo"")) ",4,4,8
"at(l0, 1) is li0",4,4,8
"contains(x, $(Real, 2.0))",4,4,8
hash(False) is 0,4,4,8
"get(m0, mk1) is dv5",4,4,8
"at(l2, 0) is li4",4,4,8
char1,4,4,8
"contains(s0, $(String, ""oon""))",4,4,8
" hash($(Char, 'b')) is 98",4,4,8
" eq(get(a0, $(Int, 1)), $(Int, 20)) ",4,4,8
"as_str(s2), ""Hello""",4,4,8
"at(l0, 1) is li5",4,4,8
" eq(get(a0, $(Int, 2)), $(Int, 3)) ",4,4,8
as_long(fst) is 64,4,4,8
t0 != t1,4,4,8
"eq(at(z, 1), $(Real, 2.2))",4,4,8
" eq($(Real, 1.11), $(Real, 1.11)) ",4,4,8
"at(l1, 1) is li5",4,4,8
"contains(a0, $(Int, 5))",4,4,8
" eq($(Int, 111), $(Int, 111)) ",4,4,8
"contains(y, $(Real, 1.1))",4,4,8
" hash($(Real, 11.0)) is r1.as_long ",4,4,8
hash(True) is 1,4,4,8
z,4,4,8
" le($(Int, 21), $(Int, 32)) ",4,4,8
" hash($(Real, 0.6)) is r2.as_long ",4,4,8
 not(real2 is real1) ,4,4,8
" lt($(Int, 34), $(Int, 323)) ",4,4,8
" neq($(Int, 34), $(Int, 54)) ",4,4,8
len(y) is 4,4,4,8
"type_implements(Real, Num)",4,4,8
"as_double($(Real, 9.8)) is 9.8",4,4,8
"as_str(xs), ""Hello""",4,4,8
as_long(second) is 22,4,4,8
"as_str(s1), ""There""",4,4,8
"eq(at(z, 2), $(Real, 5.2))",4,4,8
real2,4,4,8
"type_implements(String, Eq)",4,4,8
"eq(total, $I(0))",5,3,8
len(m0) is 3,4,4,8
" eq(get(a1, $(Int, 0)), $(String, ""Hello"")) ",4,4,8
c_int(tester) is 20,4,4,8
as_long(tester) is 0,4,4,8
new_values,4,4,8
" eq(get(a1, $(Int, 1)), $(String, ""Blah"")) ",4,4,8
as_long(int2) is 24313,4,4,8
"contains(y, $(Real, 2.2))",4,4,8
"contains(l0, li0)",4,4,8
type_of(Real) is Type,4,4,8
type_of(Type) is Type,4,4,8
" eq($(String, ""there""), $(String, ""there"")) ",4,4,8
" hash($(Int, 06)) is 06 ",4,4,8
l1 != l2,4,4,8
as_double(True) is 1.0,4,4,8
type_of(x) is Int,4,4,8
"at(l0, 2) is li0",4,4,8
"as_str(str), ""FizzBuzzBoo""",4,4,8
as_char(char1) is 'b',4,4,8
as_long(first) is 1,4,4,8
"type_class(Int, Ord)",4,4,8
"eq(maxval, $(Real, 7.1))",4,4,8
"get(args, $I(1))",4,4,8
as_long(False) is 0,4,4,8
f0 != f2,4,4,8
" eq(at(a2, 0), $(Int, 1)) ",4,4,8
"contains(m2, mk0)",4,4,8
char0,4,4,8
"as_long($(Int, 5)) is 5",4,4,8
as_long(total) is 150,4,4,8
"as_str(xs), ""There""",4,4,8
" eq(at(a0, 3), $(Int, 3)) ",4,4,8
as_long(apple_price) is 12,4,4,8
" eq(out, $(String, ""Hello Bob!"")) ",4,4,8
" (eq(key, $S(""Hello"")) and eq(val, $I(2))) or (eq(key, $S(""There"")) and eq(val, $I(5)))",5,3,8
" eq(at(a0, 1), $(Int, 1)) ",4,4,8
" hash($(Int, 8213)) is 8213 ",4,4,8
"type_of($(Real, 1.0)) is Real",4,4,8
" le($(Char, 'A'), $(Char, 'a')) ",4,4,8
" eq(at(a2, 0), $(Real, 1.1)) ",4,4,8
"get(args, $(Int, 0))",4,4,8
"as_str(s0), ""Hello""",4,4,8
type_of(True) is Bool,4,4,8
as_long(int0) is 1,4,4,8
" gt($(Int, 5133), $(Int, 232)) ",4,4,8
"contains(s0, $(String, ""Balloons""))",4,4,8
"at(x, 0) is fst",4,4,8
" le($(Int, 166), $(Int, 166)) ",4,4,8
"as_long($(Real, 5.5)) is 5",4,4,8
"contains(m2, mk2)",4,4,8
" gt($(Real, 51.33), $(Real, 2.32)) ",4,4,8
"at(l0, 3) is li0",4,4,8
" neq($(Char, 'T'), $(Char, 'V')) ",4,4,8
" ge($(Int, 71), $(Int, 71)) ",4,4,8
"type_class(Type, AsStr)",4,4,8
"type_class(List, At)",4,4,8
" neq($(Int, 2 ), $(Int, 20)) ",4,4,8
"contains(m2, mk3)",4,4,8
" lt($(Int, 2332), $(Int, 9992)) ",4,4,8
"as_str($(String, ""Hello"")), ""Hello""",4,4,8
as_long(tester) is -20,4,4,8
as_long(res1) == as_long(res2),4,4,8
" lt($(Real, 31.0), $(Real, 32.3)) ",4,4,8
" eq(l1, l3) ",4,4,8
" ge($(Real, 87.34), $(Real, 2.89)) ",4,4,8
" lt($(Real, 23.32), $(Real, 99.92)) ",4,4,8
as_double(real2) is 24.313,4,4,8
f0 != f1,4,4,8
"as_double($(Real, 5.1)) is 5.1",4,4,8
as_long(int2) is 1,4,4,8
f1 != f2,4,4,8
"at(l0, 3) is li1",4,4,8
is_empty(x),4,4,8
"mem(t0, $(String, ""Hello""))",4,4,8
"type_implements(Int, New)",4,4,8
" eq(at(a1, 0), $(Real, 1.1)) ",4,4,8
" le($(Char, 'a'), $(Char, 'a')) ",4,4,8
f2,4,4,8
" gt($(Char, 'b'), $(Char, 'a')) ",4,4,8
"at(l2, 1) is li1",4,4,8
"eq(at(x, 2), $(Int, 10))",4,4,8
"at(l2, 1) is li5",4,4,8
as_double(snd) is 3.2,4,4,8
as_double(real0) is 1.0,4,4,8
" ge($(Real, 2.89), $(Real, 2.89)) ",4,4,8
"as_str($(String, ""There"")), ""There""",4,4,8
"eq(at(x, 1), $(Int, 10))",4,4,8
" eq(l0, l2) ",4,4,8
l0 != l1,4,4,8
"type_of($(Int, 1)) is Int",4,4,8
" le($(Real, 16.6), $(Real, 16.6)) ",4,4,8
"as_char($(Char, 'b')) is 'b'",4,4,8
"contains(m2, mk4)",4,4,8
" hash($(Char, 'z')) is 122",4,4,8
"contains(l0, li4)",4,4,8
" neq(l1, l2) ",4,4,8
" eq($(Int, 23), $(Int, 23)) ",4,4,8
"type_implements(IntParent, ReturnTrue)",4,4,8
" ge($(Int, 78), $(Int, 71)) ",4,4,8
as_str(xs) != as_str(ys),4,4,8
" hash($(Real, 82.13)) is r3.as_long ",4,4,8
"contains(m1, mk3)",4,4,8
as_long(x) is 1,4,4,8
as_char(char0) is 'a',4,4,8
"as_str(True), ""True""",4,4,8
as_long(fst) is 10,4,4,8
" gt($(Int, 5), $(Int, 0)) ",4,4,8
"contains(m2, mk1)",4,4,8
"contains(m2, mk5)",4,4,8
as_double(False) is 0.0,4,4,8
" eq($(Real, 23.55), $(Real, 23.55)) ",4,4,8
" le($(Int, 32), $(Int, 32)) ",4,4,8
"lt(False, True)",4,4,8
as_double(y) is 1.0,4,4,8
as_long(x) is 10,4,4,8
"contains(s0, $(String, ""Ball""))",4,4,8
t0 != t2,4,4,8
"as_str(x), as_str(y)",4,4,8
"as_str(s0), ""Ball""",4,4,8
"as_long($(Real, 5.4)) is 5",4,4,8
"at(x, 2) is trd",4,4,8
"mem(a0, $(Int, 1))",4,4,8
"contains(m1, mk5)",4,4,8
as_long(snd) is 32,4,4,8
" hash($(Int, 34)) is 34 ",4,4,8
as_char(char1) is 'a',4,4,8
"eq(total, $I(5))",5,3,8
" hash($(Real, 34.0)) is r0.as_long ",4,4,8
"get(args, $I(0))",4,4,8
"as_str(s0), """"",4,4,8
"as_str(False), ""False""",4,4,8
as_long(pear_price) is 55,4,4,8
real0,4,4,8
" neq($(String, ""group""), $(String, ""GROUP"")) ",4,4,8
real1,4,4,8
"get(m0, mk0) is dv0",4,4,8
" gt($(Real, 5.0), $(Real, 0.0)) ",4,4,8
" eq(i2, $I(6)) ",5,3,8
" eq($(Char, 'h'), $(Char, 'h')) ",4,4,8
l0 != l2,4,4,8
"contains(s0, $(Char, 'l'))",4,4,8
as_double(real2) is 1.0,4,4,8
" lt($(Char, 'V'), $(Char, 't')) ",4,4,8
" eq($(Int, 1 ), $(Int, 1 )) ",4,4,8
" eq(i1, $I(5)) ",5,3,8
"contains(y, $(Real, 7.1))",4,4,8
len(somes) is 2,4,4,8
as_long(True) is 1,4,4,8
"eq(False, False)",4,4,8
" eq(i0, $I(2)) ",5,3,8
"get(args, $(Int, 1))",4,4,8
