x_val,y_added,y_removed,y_combined
y < 8*sizeof(x),96,64,160
y < sizeof(T)*8,32,24,56
nSize >= 0,25,19,44
 false ,24,18,42
y < 32,24,16,40
!SupportsPrecomputation(),18,12,30
 current_p_->type() == obj_type ,14,10,24
!Attachable(),12,8,20
IsAligned<T>(block),12,8,20
index<this->m_size,12,8,20
iter_,12,6,18
Valid(),10,5,15
"(""break caught by TRY_CRITICAL_BLOCK!"", !fcriticalblockonce)",8,6,14
"nMessageStart - nHeaderStart >= offsetof(CMessageHeader, nChecksum) + sizeof(nChecksum)",8,6,14
"(""break caught by CRITICAL_BLOCK!"", !fcriticalblockonce)",8,6,14
 c == '}' ,7,5,12
n >= 0,8,4,12
 c == ']' ,7,5,12
 c == '{' ,7,5,12
 current_p_ == 0 ,7,5,12
" is_eq( begin, end, ""true"" ) ",7,5,12
"(""Write called on database in read-only mode"", false)",7,5,12
"(""warning: pushing a CScript onto a CScript with << is probably not intended, use + to concatenate"", false)",7,5,12
 c == '[' ,7,5,12
 c <= 0xF ,7,5,12
"(""Erase called on database in read-only mode"", false)",7,5,12
 end - begin >= 2 ,7,5,12
" is_eq( begin, end, ""false"" ) ",7,5,12
" is_eq( begin, end, ""null"" ) ",7,5,12
byteCount % sizeof(T) == 0,6,4,10
(sizeof(T1)<=sizeof(T2) && T2(-1)>0) || (sizeof(T1)>sizeof(T2) && T1(-1)>0),6,4,10
"IsAlignedOn(m_array, 8)",6,4,10
oldSize <= S,6,4,10
m_allocated,6,4,10
!IsRandomAccess(),6,4,10
fFirst || fSecond || nMaskCode,6,4,10
inlen <= outlen*U,6,4,10
b>=0,6,4,10
sizeof(T) == 8,6,4,10
a==0 || a>0,6,4,10
"IsAlignedOn(p, 16)",6,4,10
n <= S,6,4,10
IsAligned<T>(xorBlock),6,4,10
sizeof(U) >= sizeof(T),6,4,10
IsValidKeyLength(length),6,4,10
IsPowerOf2(b),6,4,10
last - first >= 0,5,3,8
0,6,2,8
!vchPubKey.empty(),4,4,8
opcode >= OP_DOUBLEBYTE_BEGIN,4,4,8
!empty(),4,2,6
fGetSize||fWrite||fRead,3,3,6
key.size() < OP_PUSHDATA1,3,3,6
rhs == 0 || (rhs > 0 && m_value >= std::numeric_limits<int64_t>::min() + rhs) || (rhs < 0 && m_value <= std::numeric_limits<int64_t>::max() + rhs),4,2,6
!(nUpTo & ~BLOCK_VALID_MASK),4,2,6
internal_key.size() >= 8,4,2,6
m_value != std::numeric_limits<int64_t>::min(),4,2,6
rhs == 0 || (rhs > 0 && m_value <= std::numeric_limits<int64_t>::max() - rhs) || (rhs < 0 && m_value >= std::numeric_limits<int64_t>::min() - rhs),4,2,6
!(page_size & (page_size - 1)),3,2,5
"!""Warning: Pushing a CScript onto a CScript with << is probably not intended, use + to concatenate!""",3,2,5
size > 0,3,2,5
n >= 0 && n <= 16,3,2,5
opcode >= OP_1 && opcode <= OP_16,3,2,5
vMerkleTree.size() > 0,2,2,4
nIndex < vtx.size(),2,2,4
this->GetLockedPageCount() == 0,2,2,4
"(""break caught by CRITICAL_BLOCK!"" && !fcriticalblockonce)",2,2,4
"(""break caught by TRY_CRITICAL_BLOCK!"" && !fcriticalblockonce)",2,2,4
"x == NULL || !Equal(key, x->key)",2,1,3
s >= last_sequence_,2,1,3
height <= kMaxHeight,2,1,3
height > 0,2,1,3
refs_ >= 0,2,1,3
n < size(),2,1,3
it != histogram.end(),2,1,3
"!""Write called on database in read-only mode""",2,1,3
p <= limit,2,1,3
WIDTH >= 2,2,1,3
n <= size(),2,1,3
s->list_ == this,2,1,3
!rep_.empty(),2,1,3
bytes > 0,2,1,3
"x == head_ || compare_(x->key, key) < 0",2,1,3
"!""Erase called on database in read-only mode""",2,1,3
nHeight != -1,1,1,2
"(""break caught by WAITABLE_CRITICAL_BLOCK!"" && !fcriticalblockonce)",1,1,2
nMessageStart - nHeaderStart >= CMessageHeader::CHECKSUM_OFFSET + sizeof(nChecksum),1,1,2
vchSecret.size() == 32,1,1,2
pqueue->nTotal == pqueue->nIdle,1,1,2
(nCompact & ~0x007fffff) == 0,1,1,2
pqueue->fAllOk == true,1,1,2
pqueue->nTodo == 0,1,1,2
vchData.size() == 20,1,1,2
"""break caught by TRY_CRITICAL_BLOCK!"" && !fcriticalblockonce",1,1,2
nSize < 256,1,1,2
vchSecret.IsValid(),1,1,2
"!""warning: pushing a CScript onto a CScript with << is probably not intended, use + to concatenate""",1,1,2
ssSend.size () >= CMessageHeader::CHECKSUM_OFFSET + sizeof(nChecksum),1,1,2
file_,1,1,2
ssSend.size() == 0,1,1,2
"""break caught by CRITICAL_BLOCK!"" && !fcriticalblockonce",1,1,2
isIdle,1,0,1
nMaxSizeIn > 0,1,0,1
test->keysize == 128 || test->keysize == 192 || test->keysize == 256,1,0,1
0 && reason,1,0,1
nIds != nTried,1,0,1
nRefCount >= 0,1,0,1
(*hex >= '0' && *hex <= '9') || (*hex >= 'a' && *hex <= 'f'),1,0,1
tx.wit.vtxinwit.size() <= tx.vin.size(),1,0,1
*hex == 0,1,0,1
"SHORTTXIDS_LENGTH == 6, ""shorttxids serialization assumes 6-byte shorttxids""",1,0,1
s > 0,1,0,1
nIds != nNew,1,0,1
