x_val,y_added,y_removed,y_combined
cl_assert,7136,4526,11662
cl_assert_equal_i,5215,2995,8210
cl_assert_equal_s,2067,1066,3133
assert,1680,886,2566
cl_assert_strequal,363,363,726
cl_assert_equal_sz,436,239,675
cl_assert_equal_b,230,27,257
cl_assert_equal_oid,239,14,253
assert_status,184,61,245
assert_refspec,128,84,212
assert_is_ignored,159,27,186
assert_message_prettifying,116,58,174
cl_assert_equal_file,135,21,156
assert_resolve_relative,89,45,134
assert_describe,75,50,125
assert_blob_oid,84,38,122
cl_assert_equal_p,84,33,117
assert_retrieval,53,45,98
assert_tree_from_path,50,43,93
assert_invalid_single_spec,60,30,90
assert_peel,55,30,85
assert_config_entry_existence,57,27,84
cl_assert_,43,29,72
cl_assert_error,44,23,67
assert_invalid_spec,29,29,58
clar__assert_equal,34,15,49
assert_peel_error,30,18,48
assert_repo_state,36,12,48
assert_hooks_match,25,22,47
clar__assert,29,18,47
assert_submodule_exists,35,9,44
assert_mergebase_many,28,15,43
assert_identical_blobs_comparison,25,16,41
cl_assert_intequal,20,20,40
cl_assert_equal_i_fmt,23,16,39
assert_binary_blobs_comparison,22,15,37
assert_config_entry_value,26,9,35
assert_branch_has_been_found,19,13,32
assert_on_branch,24,6,30
assert_invalid_config_key_name,18,9,27
assert_invalid_config_section_name,15,10,25
assert_commit_summary,23,2,25
assert_config_entry_on_init,14,10,24
assert_show,13,10,23
assert_content_in_index,16,7,23
assert_commit_body,21,0,21
assert_object_oid,13,7,20
cl_assert_last_error,10,10,20
assert_delta_binary,20,0,20
assert_has_reflog,13,6,19
assert_signature,10,8,18
assert_name_and_email,13,5,18
assert_commit_message_contains,12,6,18
cl_assert_equal_strn,18,0,18
assert_note_equal,12,5,17
assert_merge_and_or_remote_key_missing,9,6,15
assert_unescape,10,5,15
assert_found_objects,9,6,15
assert_cannot_create_remote,10,5,15
assert_named_chunked_blob,9,6,15
cl_assert_at_line,11,3,14
assert_mergebase_octopus,13,0,13
assert_has_mode,6,6,12
assert_is_branch,8,4,12
cl_assert_in_range,8,4,12
assert_shorthand,8,4,12
assert_config_entry_on_init_bytype,8,4,12
assert_nth_gen_parent,8,4,12
assert_tree_from_path_klass,6,6,12
assert_is_tag,8,4,12
assert_vector,12,0,12
assert_name_is,11,0,11
assert_blob_creation,7,4,11
assert_common_dirlen,11,0,11
assert_one_modified,11,0,11
clar__assert_equal_file,6,4,10
assert_proper_normalization,6,3,9
assert_peel_generic,6,3,9
assert_conflict,6,3,9
assert_submodule_url_is_synced,6,3,9
assert_describe_workdir,6,3,9
assert_workdir_matches_tree,6,3,9
assert_changed_single_one_line_file,6,3,9
assert_mode_seems_okay,6,3,9
assert_one_modified_with_lines,6,3,9
assert_branch_list_contains,4,4,8
clay__assert,4,4,8
assert_zlib_equal,6,2,8
assert_transform,4,4,8
assert_config_value,8,0,8
assert_email_match,7,0,7
assert_submodule_url,6,1,7
assert_appends,4,3,7
assert_ignore_case,4,2,6
assert_allowed,6,0,6
assert_at_end,4,2,6
assert_valid_transform,6,0,6
assert_reset_soft,4,2,6
assert_correct_reflog,4,2,6
assert_index_is_sorted,3,3,6
assert_dir_exists,4,2,6
assert_ref_exists,5,0,5
assert_notfound_objects,3,2,5
assert_head_reflog,5,0,5
assert_non_exisitng_branch_removal,2,2,4
assert_patch_matches_blobs,4,0,4
assert_empty_directory,2,2,4
assert_hard_link,4,0,4
clar__assert_equal_s,2,2,4
assert_ignored_,3,0,3
assert_commit_is_head,3,0,3
assert_commit_tree_has_n_entries,3,0,3
assert_default_branch,3,0,3
assert_update_change,3,0,3
assert_file_exists,2,1,3
cl_assert_equal_file_ignore_cr,2,1,3
assert_recurse_change,3,0,3
assert_is_note,3,0,3
assert_ignore_change,3,0,3
cl_assert_strequal_internal,1,1,2
assert_invalid_rtransform,2,0,2
assert_all_refnames_match,2,0,2
assert_branch_matches_name,2,0,2
assert_invalid_transform,2,0,2
cl_assert_equal_wcs,2,0,2
clar__assert_equal_i,1,1,2
assert_ignored,1,0,1
diff_assert_equal,1,0,1
assert_is_ignored_,1,0,1
