x_val,y_added,y_removed,y_combined
0,13,17,30
"i0, i1, i2, i3, i4, i5, i6, i7, i8",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5], index[6], index[7], index[8], index[9], index[10]",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5], index[6], index[7], index[8], index[9]",8,10,18
"i0, i1, i2, i3, i4, i5, i6, i7, i8, i9",8,10,18
"index[0], index[1]",8,10,18
i0,8,10,18
"i0, i1, i2, i3, i4",8,10,18
"i0, i1, i2",8,10,18
"index[0], index[1], index[2], index[3]",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5], index[6], index[7], index[8]",8,10,18
"index[0], index[1], index[2]",8,10,18
"i0, i1, i2, i3, i4, i5, i6",8,10,18
index[0],8,10,18
"i0, i1, i2, i3, i4, i5, i6, i7",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5]",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5], index[6], index[7]",8,10,18
index,8,10,18
"i0, i1, i2, i3, i4, i5",8,10,18
"i0, i1",8,10,18
"i0, i1, i2, i3, i4, i5, i6, i7, i8, i9, i10",8,10,18
"index[0], index[1], index[2], index[3], index[4]",8,10,18
"i0, i1, i2, i3",8,10,18
"index[0], index[1], index[2], index[3], index[4], index[5], index[6]",8,10,18
(iter->mode == NPY_NEIGHBORHOOD_ITER_ONE_PADDING) | (iter->mode == NPY_NEIGHBORHOOD_ITER_ZERO_PADDING) | (iter->mode == NPY_NEIGHBORHOOD_ITER_CONSTANT_PADDING),8,8,16
X,6,8,14
__pyx_arg_length,5,5,10
iter->mode == NPY_NEIGHBORHOOD_ITER_MIRROR_PADDING,4,4,8
iter->nd == 2,4,4,8
X == Y,3,4,7
b > 0,5,2,7
dataBlockAddress_ != 0,3,4,7
extra_zeros_cnt >= 0,4,3,7
assertFailMode == _bz_true,3,4,7
iter->mode == NPY_NEIGHBORHOOD_ITER_CIRCULAR_PADDING,3,3,6
sizeof(blank_data) / sizeof(blank_data[0]) >= num,2,2,4
(esz == 1 && cache == datacache) || (esz == sizeof(npy_intp) && cache == dimcache),2,1,3
len >= 2,1,1,2
assertFailMode == true,1,1,2
dims != NULL || (nd == 0),1,1,2
dot != NULL,1,1,2
a2 > 0,1,0,1
nin == 2,1,0,1
n >= 2,1,0,1
arr != NULL,1,0,1
a1 > 0,1,0,1
i == n,1,0,1
"PyArray_EquivArrTypes(x->ao, fill) == NPY_TRUE",1,0,1
descr->elsize % 4 == 0,1,0,1
rng == 1 && off == 0,1,0,1
